,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_ElasticNet_MAE,CONSENSUS_HURR_4_XGB_MLP_MSE
562,94.846146,94.544266,97.0,120.0,103.0,105.0,105.0,71.0,97.0,101.666664,99.96153,78.233574,95.04515,95.808395,95.735794,90.62489,100.183945,94.03955,89.44397,99.75989,89.64315,87.83072,98.66079,67.62975,68.60471,93.15744,94.51985,94.076965,99.87996,85.88107,86.15505051361694
563,96.00425,99.1163,102.0,115.0,119.0,115.0,107.0,75.0,102.0,109.333336,106.00106,93.08292,91.00316,105.27073,99.6672,96.31004,106.9168,98.68895,96.57112,106.67224,84.632126,91.11891,103.158035,67.45289,64.11338,98.86322,98.64802,100.329384,106.662,95.851974,95.02317126026344
564,104.2789,109.40111,103.0,105.0,125.0,115.0,113.0,77.0,103.0,113.666664,111.319725,99.94697,108.44506,110.23674,107.27202,104.59865,112.06801,106.77391,104.99629,111.94348,110.15994,102.91878,112.789986,66.1,66.62826,101.775,106.54108,107.4274,111.88527,103.44948,103.47883550180218
565,96.77974,98.8752,101.0,100.0,126.0,115.0,110.0,78.0,101.0,112.333336,108.44493,94.455536,94.88368,107.863884,101.24093,103.52066,109.560234,104.19665,101.262314,110.299164,97.629135,97.803734,108.65729,70.35124,65.23323,101.837814,99.18599,101.907486,109.04649,96.213715,95.99956770404211
566,105.511,109.19062,106.0,95.0,120.0,105.0,110.0,69.0,106.0,112.0,110.37775,106.11557,113.79239,110.52889,105.11316,110.25285,110.27829,108.7395,106.14057,111.184875,112.35974,119.85747,112.089935,68.37472,68.96209,101.09368,110.97862,107.91388,111.74466,107.22264,106.93039075106536
567,100.59059,98.1958,93.0,90.0,84.0,100.0,98.0,73.0,93.0,91.666664,93.897644,100.32964,100.2128,93.83241,95.29248,100.770226,92.57312,99.44643,95.5787,93.6116,104.835365,100.81709,94.95884,71.13475,66.65869,86.53369,92.738365,99.97626,91.93459,101.574005,100.2983577957495
568,90.12364,88.12585,77.0,85.0,81.0,85.0,75.0,61.0,77.0,77.666664,80.780914,88.43976,87.06202,80.35994,81.47827,85.54786,78.61957,85.78483,82.00133,79.696205,90.75377,91.975204,80.938446,66.79701,63.296547,74.94925,87.195435,89.94757,80.04886,89.82324,88.74638732405754
569,88.7175,83.05662,74.0,75.0,79.0,80.0,73.0,63.0,74.0,75.333336,78.679375,84.76916,83.301674,77.69229,81.34866,85.5506,76.837166,86.621994,83.86383,78.1555,83.595985,85.12198,77.398994,61.27191,58.185257,71.81798,85.687126,78.77332,77.92178,86.635254,85.10362169421965
570,80.58054,81.99395,75.0,65.0,54.0,75.0,65.0,61.0,75.0,64.666664,68.645134,80.62863,80.221756,68.65716,80.27374,78.07695,68.568436,79.876366,78.52254,68.46909,79.67251,80.86203,68.41813,58.680046,56.04893,63.170013,81.205124,75.50371,68.801285,81.763695,80.18840231441914
571,76.2872,75.62318,75.0,60.0,72.0,75.0,63.0,59.0,75.0,70.0,71.5718,71.28481,69.20158,70.321205,80.7961,78.5128,72.69902,81.03684,80.88631,72.75921,66.68751,65.95766,69.171875,57.298767,54.903183,66.82469,76.457634,70.61287,71.61441,73.70566,72.1282954371611
