,OFCL,DSHP,HURR_STAT_TRANSFO,SHIP,HWRF,FSSE,GFSO,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,TRUTH,HURR_STAT_GRU,Consensus_HURR_STAT_GRU,HURR_STAT_COMP,Consensus_HURR_STAT_COMP,HURR_STAT,Consensus_HURR_STAT,HURR_GRU_ONLY,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY,Consensus_HURR_TRANSFO_ONLY
374,60.0,58.0,60.782314,58.0,54.0,65.0,52.0,59.0,59.44558,45.0,57.27755,58.56939,61.098946,59.524734,64.260704,60.315178,59.794384,59.198597,53.63641,57.659103
375,55.0,51.0,55.314575,51.0,55.0,61.0,50.0,55.666668,55.578644,45.0,48.167427,53.791855,57.899548,56.224888,59.14735,56.53684,49.769756,54.19244,52.918858,54.979713
376,60.0,53.0,39.46177,53.0,57.0,62.0,42.0,57.333332,52.86544,45.0,36.26767,52.066917,43.814457,53.953613,42.411186,53.6028,37.493713,52.37343,47.595177,54.898796
377,50.0,47.0,38.64058,47.0,55.0,57.0,51.0,53.0,49.410145,45.0,38.006138,49.251534,41.86852,50.21713,40.480717,49.87018,40.016182,49.754044,45.312687,51.07817
378,45.0,43.0,36.65571,43.0,48.0,50.0,47.0,47.0,44.413925,45.0,34.37544,43.84386,40.7231,45.430775,39.38771,45.096928,37.726494,44.681625,44.10844,46.27711
379,45.0,41.0,38.077152,41.0,40.0,48.0,37.0,43.0,41.769287,45.0,37.262875,41.56572,40.413937,42.353485,39.13369,42.033424,40.261513,42.315376,47.337204,44.0843
380,45.0,43.0,37.925167,43.0,41.0,45.0,48.0,43.0,41.731293,45.0,38.335796,41.83395,40.745026,42.436256,39.01812,42.00453,39.910507,42.227627,49.477333,44.61933
381,45.0,43.0,37.508896,43.0,38.0,44.0,40.0,41.666668,40.627224,45.0,40.002434,41.25061,41.48876,41.622192,40.5915,41.397873,40.17527,41.293816,51.15516,44.038788
382,40.0,44.0,39.48757,44.0,45.0,44.0,36.0,44.333332,43.121895,40.0,42.018177,43.754543,43.041176,44.010292,40.986755,43.49669,40.606415,43.401604,49.92816,45.73204
383,45.0,41.0,41.04098,41.0,46.0,44.0,35.0,43.666668,43.010246,40.0,42.095676,43.27392,42.43701,43.359253,41.410187,43.102547,41.45717,43.114292,52.743515,45.93588
384,45.0,47.0,42.1757,47.0,40.0,45.0,37.0,44.0,43.543926,40.0,41.5644,43.391098,41.001755,43.25044,41.759743,43.439934,40.268288,43.06707,51.609043,45.90226
385,45.0,45.0,43.336567,45.0,41.0,45.0,31.0,43.666668,43.58414,40.0,42.58021,43.395054,41.96823,43.242058,41.873447,43.21836,41.42362,43.105904,48.71402,44.928505
386,40.0,36.0,34.47731,36.0,44.0,38.0,35.0,39.333332,38.119328,40.0,35.48445,38.371113,32.543045,37.63576,35.036716,38.25918,32.627327,37.65683,44.98094,40.745235
387,35.0,36.0,36.28154,36.0,36.0,38.0,29.0,36.666668,36.570385,35.0,36.589546,36.647385,31.456001,35.364,34.65416,36.16354,37.40788,36.85197,49.08867,39.772167
388,35.0,38.0,40.038296,38.0,41.0,38.0,30.0,39.0,39.259575,35.0,37.246456,38.561615,36.215965,38.303993,37.78916,38.69729,39.48442,39.121105,46.09112,40.77278
389,35.0,40.0,40.616516,40.0,41.0,40.0,32.0,40.333332,40.40413,30.0,42.699093,40.924774,38.350357,39.83759,40.026844,40.25671,40.877426,40.469357,48.01548,42.25387
390,35.0,35.0,42.071068,35.0,46.0,39.0,32.0,40.0,40.51777,30.0,39.68026,39.920067,40.233948,40.058487,40.375164,40.093792,40.244007,40.061,44.19581,41.04895
391,35.0,27.0,33.509964,27.0,39.0,33.0,29.0,33.0,33.12749,24.999998,31.402966,32.600742,32.530266,32.88257,33.42324,33.105812,29.260105,32.065025,36.292183,33.823044
392,30.0,25.0,33.42863,25.0,34.0,32.0,26.0,30.333334,31.107159,24.999998,31.958809,30.739702,33.165016,31.041254,33.34311,31.085777,34.208572,31.302143,36.11521,31.778803
393,65.0,59.0,57.401463,59.0,68.0,69.0,62.0,65.333336,63.350365,70.0,58.92073,63.730183,56.309727,63.07743,55.730904,62.932724,52.406494,62.101624,51.56522,61.891304
394,75.0,71.0,69.25209,71.0,67.0,85.0,63.0,74.333336,73.06302,75.0,68.813225,72.95331,68.32949,72.832375,69.90387,73.22597,71.3878,73.596954,56.024323,69.75608
395,85.0,80.0,83.710846,80.0,63.0,94.0,62.0,79.0,80.17771,80.0,90.25098,81.812744,80.6221,79.405525,83.488846,80.12221,95.19688,83.04922,68.3122,76.32805
396,95.0,92.0,91.87257,92.0,87.0,102.0,70.0,93.666664,93.21814,85.0,104.89832,96.47458,94.067116,93.76678,99.91292,95.228226,101.277084,95.569275,78.4639,89.865974
397,95.0,83.0,90.434166,83.0,81.0,95.0,75.0,86.333336,87.35854,90.0,99.3094,89.57735,92.63542,87.90886,99.569115,89.64228,98.40094,89.350235,77.82321,84.2058
398,100.0,91.0,96.0663,91.0,88.0,103.0,74.0,94.0,94.51657,90.0,105.584755,96.89619,102.01433,96.003586,104.95383,96.73846,103.464935,96.366234,81.15524,90.78881
399,105.0,95.0,101.016815,95.0,89.0,101.0,78.0,95.0,96.5042,95.0,101.78998,96.697495,100.87235,96.46809,103.75557,97.18889,100.344284,96.336075,82.158394,91.7896
400,105.0,106.0,103.16962,106.0,90.0,106.0,86.0,100.666664,101.292404,90.0,107.25061,102.31265,113.24314,103.81078,104.95053,101.73763,102.849884,101.21247,90.118774,98.02969
401,100.0,95.0,99.16353,95.0,76.0,99.0,82.0,90.0,92.29088,90.0,106.652534,94.16313,106.19133,94.04784,103.98851,93.49713,103.63113,93.40778,85.52948,88.88237
402,95.0,91.0,94.36034,91.0,91.0,92.0,86.0,91.333336,92.09009,85.0,98.96988,93.24247,101.62225,93.90556,95.26933,92.31734,98.96489,93.24123,79.4074,88.35185
403,90.0,90.0,105.629135,90.0,88.0,89.0,84.0,89.0,93.15729,85.0,103.91087,92.72772,100.98428,91.99607,100.008316,91.752075,104.836555,92.95914,85.84195,88.21049
404,90.0,90.0,81.0461,90.0,82.0,87.0,79.0,86.333336,85.01152,80.0,82.37054,85.342636,91.912506,87.72813,87.2463,86.56158,79.007576,84.50189,74.12058,83.28014
405,90.0,86.0,78.64212,86.0,89.0,84.0,79.0,86.333336,84.41053,70.0,88.37773,86.84444,85.15661,86.039154,81.21152,85.05288,88.23054,86.80763,73.34006,83.085014
406,85.0,82.0,67.97596,82.0,89.0,83.0,73.0,84.666664,80.49399,65.0,71.7202,81.43005,70.54929,81.13732,70.50056,81.12514,73.312836,81.82821,69.76422,80.941055
407,75.0,78.0,76.91228,78.0,82.0,77.0,72.0,79.0,78.47807,60.0,81.13808,79.534515,73.33289,77.58322,69.72641,76.6816,78.35831,78.83958,74.622696,77.90567
408,70.0,68.0,68.88236,68.0,64.0,66.0,77.0,66.0,66.72059,60.0,70.739174,67.18479,64.48675,65.62169,66.21337,66.053345,72.09312,67.52328,64.16647,65.54162
409,65.0,60.0,42.162518,60.0,79.0,66.0,64.0,68.333336,61.79063,55.0,45.35391,62.588478,44.61364,62.40341,45.32443,62.58111,44.46405,62.366013,44.970795,62.4927
410,65.0,65.0,43.332756,65.0,67.0,67.0,65.0,66.333336,60.58319,55.0,46.205544,61.301384,43.64989,60.66247,43.32263,60.580658,45.351994,61.087997,47.182396,61.5456
411,60.0,63.0,39.99582,63.0,69.0,67.0,58.0,66.333336,59.748955,55.0,44.19915,60.79979,37.77125,59.192814,37.089966,59.02249,44.07099,60.767746,43.07049,60.517624
412,55.0,51.0,42.647774,51.0,67.0,59.0,65.0,59.0,54.91194,55.0,50.16654,56.791634,42.31486,54.828716,42.50787,54.87697,50.208233,56.80206,48.504383,56.376095
413,45.0,45.0,38.244675,45.0,58.0,53.0,41.0,52.0,48.56117,55.0,39.106247,48.77656,39.48827,48.872066,38.62309,48.655773,40.56781,49.141953,42.550247,49.63756
414,45.0,45.0,42.060074,45.0,58.0,51.0,45.0,51.333332,49.01502,50.0,49.44885,50.862213,41.965847,48.991463,42.607224,49.151806,48.036705,50.50918,43.94227,49.485565
415,50.0,50.0,43.69477,50.0,49.0,50.0,40.0,49.666668,48.17369,50.0,49.083008,49.520752,44.18887,48.29722,44.579224,48.394806,53.07911,50.519775,44.250816,48.312706
416,40.0,43.0,45.99351,43.0,45.0,46.0,48.0,44.666668,44.99838,50.0,48.83366,45.708416,45.06253,44.765633,45.141346,44.785336,48.98638,45.746597,44.96875,44.742188
417,40.0,40.0,47.336952,40.0,41.0,41.0,42.0,40.666668,42.334236,50.0,45.666706,41.916676,46.150158,42.03754,44.05973,41.51493,48.114082,42.52852,45.527107,41.881775
418,35.0,33.0,34.159702,33.0,36.0,34.0,41.0,34.333332,34.289925,45.0,35.825462,34.706367,33.717484,34.17937,31.974373,33.74359,36.429977,34.857494,39.687275,35.671818
419,30.0,28.0,36.73855,28.0,35.0,33.0,34.0,32.0,33.18464,35.0,36.239906,33.059975,36.429985,33.1075,35.09105,32.772762,38.032948,33.508236,39.93025,33.982563
420,25.0,23.0,37.20657,23.0,32.0,27.0,33.0,27.333334,29.801643,30.0,36.102444,29.525612,39.658176,30.414543,37.750633,29.937658,37.516777,29.879194,39.81539,30.453848
421,65.0,58.0,58.4088,58.0,71.0,65.0,61.0,64.666664,63.1022,70.0,64.17995,64.54498,61.1239,63.780975,60.158756,63.53969,66.919174,65.2298,50.684063,61.171017
422,70.0,61.0,67.85822,61.0,78.0,73.0,69.0,70.666664,69.964554,75.0,73.97793,71.494484,70.38778,70.59695,69.88367,70.47092,78.95034,72.73759,53.136627,66.28416
423,70.0,63.0,75.78091,63.0,67.0,74.0,54.0,68.0,69.94523,80.0,74.66329,69.665825,78.07134,70.51784,74.98529,69.74632,81.934494,71.48363,60.32694,66.08173
424,70.0,63.0,75.80435,63.0,64.0,69.0,45.0,65.333336,67.95109,80.0,79.37962,68.84491,77.76999,68.4425,77.3045,68.326126,86.450775,70.61269,62.050175,64.51254
425,65.0,51.0,79.122185,51.0,49.0,61.0,45.0,53.666668,60.03055,70.0,81.07998,60.519997,79.750656,60.187664,79.4087,60.102173,86.78357,61.945892,61.396297,55.599075
426,65.0,65.0,82.60628,65.0,54.0,66.0,55.0,61.666668,66.901566,55.0,86.72279,67.930695,82.41445,66.853615,83.54236,67.13559,89.646225,68.66156,59.85331,61.213326
427,65.0,67.0,85.89063,67.0,64.0,66.0,55.0,65.666664,70.72266,50.0,88.175804,71.29395,88.37067,71.34267,87.57045,71.14261,89.32674,71.58168,62.538254,64.88457
428,70.0,72.0,76.1795,72.0,68.0,70.0,63.0,70.0,71.544876,50.0,79.29507,72.32377,83.175385,73.293846,81.14353,72.78588,81.800705,72.95018,63.033657,68.258415
429,60.0,57.0,46.28729,57.0,47.0,57.0,58.0,53.666668,51.821823,50.0,44.54112,51.38528,42.724174,50.931046,42.30155,50.825386,46.77666,51.944164,44.456177,51.364044
430,45.0,38.0,33.837654,38.0,42.0,40.0,52.0,40.0,38.45941,50.0,34.785088,38.696274,34.42823,38.607056,32.2184,38.0546,36.501358,39.12534,38.78489,39.69622
431,45.0,29.0,33.418724,29.0,42.0,37.0,49.0,36.0,35.354683,50.0,34.867676,35.71692,33.169136,35.292282,32.14697,35.036743,34.391434,35.59786,39.11087,36.777718
432,45.0,46.0,37.160416,46.0,43.0,51.0,42.0,46.666668,44.290104,50.0,44.30444,46.07611,35.92628,43.98157,37.14775,44.286938,45.325752,46.331436,42.273933,45.56848
433,55.0,55.0,45.831505,55.0,52.0,53.0,36.0,53.333332,51.45788,50.0,46.89721,51.724304,45.70484,51.42621,45.325897,51.331474,46.71501,51.678753,43.193687,50.798424
434,55.0,48.0,52.19972,48.0,49.0,58.0,36.0,51.666668,51.79993,50.0,49.274895,51.068726,49.22231,51.055576,48.03711,50.759277,49.831715,51.207928,46.538857,50.384712
435,55.0,52.0,49.8053,52.0,59.0,59.0,55.0,56.666668,54.951324,50.0,51.592773,55.398193,52.480354,55.620087,49.382156,54.84554,53.18827,55.797066,52.320026,55.580006
436,55.0,51.0,51.33676,51.0,44.0,59.0,39.0,51.333332,51.33419,50.0,53.17012,51.79253,50.210426,51.052605,48.288765,50.57219,56.180935,52.545235,54.76869,52.192173
437,50.0,46.0,51.322353,46.0,53.0,51.0,46.0,50.0,50.33059,50.0,54.125076,51.03127,51.009827,50.252457,48.988113,49.74703,55.554413,51.388603,57.11511,51.778778
438,55.0,53.0,49.497253,53.0,53.0,59.0,64.0,55.0,53.624313,50.0,51.700027,54.175007,49.275333,53.568832,47.366676,53.091667,54.712395,54.9281,52.337784,54.334446
439,55.0,55.0,47.108826,55.0,70.0,57.0,63.0,60.666668,57.277206,50.0,52.416393,58.6041,49.145588,57.786396,47.067688,57.266922,53.694504,58.923626,53.03592,58.75898
440,55.0,51.0,48.342598,51.0,51.0,61.0,54.0,54.333332,52.835648,55.0,52.714157,53.92854,49.29724,53.07431,46.92016,52.48004,55.177383,54.544346,55.929085,54.73227
441,50.0,48.0,48.36768,48.0,60.0,54.0,51.0,54.0,52.59192,55.0,50.6143,53.153576,50.611584,53.152897,46.270912,52.067726,53.78141,53.94535,58.30929,55.077324
442,45.0,42.0,47.892624,42.0,54.0,52.0,50.0,49.333332,48.973156,55.0,51.215828,49.803955,47.468197,48.86705,45.85077,48.462692,53.863304,50.465828,57.3151,51.328773
443,45.0,42.0,44.527687,42.0,50.0,51.0,52.0,47.666668,46.88192,55.0,51.55096,48.63774,51.90754,48.726883,47.11984,47.52996,54.569214,49.392303,53.633194,49.1583
444,40.0,41.0,56.19131,41.0,41.0,44.0,40.0,42.0,45.54783,55.0,63.522705,47.380676,54.85188,45.21297,56.076508,45.519127,66.406876,48.10172,62.87351,47.218376
445,40.0,46.0,51.98019,46.0,51.0,46.0,41.0,47.666668,48.74505,50.0,52.948917,48.98723,53.120155,49.030037,53.793507,49.198376,57.090954,50.02274,61.393955,51.098488
446,40.0,47.0,50.23402,47.0,57.0,52.0,45.0,52.0,51.558506,50.0,49.446312,51.36158,50.817635,51.704407,50.63219,51.658047,52.672035,52.168007,59.097813,53.774452
447,40.0,42.0,44.910805,42.0,51.0,48.0,38.0,47.0,46.4777,50.0,43.98011,46.245026,46.63907,46.909767,46.899616,46.974903,47.55712,47.139282,52.622986,48.405746
448,40.0,40.0,43.3734,40.0,46.0,43.0,31.0,43.0,43.09335,45.0,44.614708,43.40368,45.015858,43.503963,46.096867,43.774216,46.305706,43.826427,51.024452,45.00611
449,30.0,31.0,32.837105,31.0,46.0,36.0,38.0,37.666668,36.459274,45.0,36.92739,37.48185,34.095398,36.77385,35.659523,37.16488,38.773235,37.94331,55.132946,42.033237
450,30.0,29.0,32.91313,29.0,40.0,30.0,32.0,33.0,32.978283,35.0,38.318287,34.32957,34.10138,33.275345,32.370728,32.84268,41.221634,35.05541,56.107277,38.776817
451,30.0,23.0,34.573597,23.0,34.0,28.0,31.0,28.333334,29.893398,30.0,36.82158,30.455395,38.14752,30.78688,35.635254,30.158813,39.688625,31.172157,59.0806,36.02015
452,30.0,24.0,32.768726,24.0,30.0,29.0,23.0,27.666666,28.94218,30.0,29.066683,28.01667,32.02765,28.756912,29.935534,28.233883,31.790504,28.697626,55.873325,34.71833
453,50.0,48.0,54.041107,68.0,44.0,51.0,49.0,47.666668,49.260277,50.0,57.60619,50.151546,43.74995,46.68749,42.89464,46.47366,57.529705,50.132427,80.99858,55.999645
454,45.0,47.0,51.96143,68.0,48.0,46.0,46.0,47.0,48.240356,45.0,47.677273,47.16932,45.472404,46.618103,43.9365,46.234123,48.25699,47.314247,78.77347,54.943367
