,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_MLP_MSE,CONSENSUS_HURR_4_XGB_ElasticNet_MSE
772,59.740154,60.46368,60.0,70.0,68.0,65.0,68.0,60.0,60.0,65.333336,63.93504,53.55415,54.042454,62.38854,58.48695,57.64142,63.62174,57.944294,57.77816,63.486073,51.551598,49.562996,61.8879,58.014854,58.711185,63.503716,60.332493,62.61766,64.08312,56.86055376151755,56.507286
773,67.047676,69.812096,66.0,75.0,63.0,70.0,73.0,64.0,66.0,67.333336,67.26192,63.495342,65.001625,66.37383,61.14829,61.28217,65.78707,61.25843,61.435204,65.814606,64.134544,62.494164,66.53364,65.30662,65.62711,66.82665,66.52132,71.85425,67.130325,65.99414990681831,66.08146
774,68.99006,69.37818,68.0,75.0,56.0,70.0,71.0,61.0,68.0,65.0,65.99751,68.97838,70.65051,65.9946,64.60212,59.023445,64.90053,65.40066,63.357067,65.10017,68.20291,68.18492,65.80073,65.91426,64.786575,65.22856,68.21071,70.67662,65.80267,70.1799437756275,69.89852
775,73.88991,72.69148,76.0,80.0,66.0,75.0,77.0,72.0,76.0,73.0,73.22247,69.43836,70.38511,72.10959,74.14019,74.757614,73.28505,75.968185,74.017654,73.74205,66.8011,70.01034,71.45027,66.09694,67.53794,71.27423,75.05206,79.97714,73.513016,70.26029909551386,71.508255
776,76.47589,80.12866,81.0,85.0,87.0,90.0,80.0,73.0,81.0,82.666664,81.11897,79.80658,81.48855,81.951645,79.48091,82.08067,81.870224,81.79612,81.82956,82.44903,75.49424,75.19307,80.87356,70.242935,68.49728,79.56073,78.88247,84.890656,81.72062,77.37715228805509,78.46913
777,84.15989,83.755325,85.0,90.0,86.0,95.0,95.0,83.0,85.0,88.666664,87.53997,87.25476,90.08673,88.31369,79.714874,84.773026,86.42872,83.21123,85.727646,87.30281,82.40856,83.97528,87.10214,75.63745,73.359825,85.40936,81.416214,88.05002,86.85405,88.09023921808296,86.891815
778,80.8587,80.82343,84.0,95.0,103.0,95.0,95.0,81.0,84.0,94.0,90.714676,87.67252,84.562195,92.41813,82.953766,82.13758,91.23844,76.84407,82.33234,89.71101,79.98884,80.42474,90.49721,72.32888,70.63608,88.58222,83.00456,83.709366,91.251144,87.35865425815554,87.34352
779,91.631805,91.15317,81.0,100.0,96.0,95.0,97.0,98.0,81.0,91.333336,91.40795,85.88916,93.23695,89.97229,87.23151,84.37439,90.30788,85.71838,86.55156,89.929596,83.879776,85.33377,89.46994,76.113945,71.30286,87.52849,88.49874,88.79702,90.62469,91.08309520143573,90.55365
780,90.8096,90.427864,80.0,105.0,97.0,95.0,92.0,86.0,80.0,89.666664,89.9524,88.57295,92.34567,89.393234,89.88787,89.88454,89.72197,89.64085,89.2786,89.66021,85.04466,87.2404,88.51117,68.7512,67.58153,84.4378,90.53382,89.41804,89.88345,90.85525163340029,91.10114
781,87.62132,86.30154,82.0,105.0,119.0,95.0,96.0,84.0,82.0,99.0,96.155334,87.49403,90.14832,96.123505,90.66402,91.30396,96.916,89.98451,88.46806,96.746124,86.25728,86.79401,95.814316,67.55482,66.82143,91.1387,90.55352,88.88849,96.88838,88.65000915004197,88.70865
782,89.187775,90.08644,84.0,110.0,109.0,100.0,100.0,79.0,84.0,97.666664,95.54694,92.27317,91.98478,96.31829,93.20414,93.37186,96.55103,89.51049,89.97732,95.627625,89.71762,88.3154,95.679405,67.19938,62.835495,90.04984,92.50539,90.02363,96.37634,92.74972803496024,92.921715
783,88.66733,90.51456,82.0,110.0,114.0,100.0,105.0,102.0,82.0,100.333336,97.41683,93.571014,92.7681,98.64275,94.70453,92.531364,98.92613,90.19081,91.11691,97.7977,93.01924,89.647354,98.50481,63.235287,62.991913,91.05882,89.99129,96.77629,97.74782,93.32560409082603,93.450714
784,89.725876,89.96667,76.0,105.0,98.0,100.0,93.0,87.0,76.0,89.0,89.18147,91.60141,91.00714,89.65035,94.00216,86.93852,90.25054,85.98102,85.72218,88.245255,90.871,91.03697,89.46775,64.02518,61.13674,82.756294,90.8526,96.05892,89.46315,94.03229610672328,93.79704
785,86.636475,88.242096,68.0,95.0,121.0,90.0,81.0,92.0,68.0,90.0,89.15912,87.66364,88.20516,89.41591,87.356125,80.30487,89.339035,80.81288,79.499084,87.70322,85.52153,87.81937,88.88039,58.6742,55.427055,82.16855,83.80594,95.360245,88.451485,90.32695262930511,90.11606
786,80.99094,83.398415,60.0,80.0,79.0,95.0,70.0,83.0,60.0,69.666664,72.497734,89.51832,86.54262,74.62958,84.110344,80.97171,73.27759,80.02986,82.33525,72.25746,88.96657,87.99867,74.49164,60.14168,57.984818,67.28542,76.90334,86.77716,71.47584,87.8786191276931,87.89375
